update date,retailer pricre without VAT,consumers price includes VAT,consumer price in Eilat,product
01/06/2015,3.84,5.11,4.33,לחם לבן
01/06/2015,4.01,5.31,4.5,חלה או מאפה שמרים
01/06/2015,5.47,7.3,6.19,לחם אחיד (כהה) פרוס וארוז
01/06/2015,4.75,6.49,5.5,לחם לבן פרוס וארוז
02/02/2015,,5.3,4.49,חלב טרי 3% שומן בשקית (רגיל)
02/02/2015,,4.95,4.19,חלב טרי  1% שומן בשקית (רגיל)
02/02/2015,,6.3,5.34,חלב טרי 3% שומן בקרטון (רגיל)
02/02/2015,,5.9,5,חלב טרי 1% שומן בקרטון (רגיל)
02/02/2015,,1.65,1.4,אשל 4.5% שומן
02/02/2015,,1.52,1.29,גיל 3% שומן
02/02/2015,,2.44,2.07,שמנת חמוצה 15% שומן רגילה
02/02/2015,,6.6,5.59,שמנת מתוקה 38% שומן
02/02/2015,,4.13,3.5,חמאה רגילה
02/02/2015,,45.45,38.52,גבינה קשה חצי שמנה עמק רגילה
02/02/2015,,43.14,36.56,גבינה קשה שמנה גלבוע
02/02/2015,,5.11,4.33,גבינה לבנה 5%
02/02/2015,,13.2,11.2,ביצי מאכל- גודל ענק ( XL )
02/02/2015,,12.1,10.25,ביצי מאכל - גודל גדול (L)
02/02/2015,,11.2,9.5,ביצי מאכל - מדיום (M)
01/01/2014,,5.3,4.49,חלב טרי 3% שומן בשקית (רגיל)
01/01/2014,,4.95,4.19,חלב טרי  1% שומן בשקית (רגיל)
01/01/2014,,6.3,5.34,חלב טרי 3% שומן בקרטון (רגיל)
01/01/2014,,5.9,5,חלב טרי 1% שומן בקרטון (רגיל)
01/01/2014,,1.65,1.4,אשל 4.5% שומן
01/01/2014,,1.52,1.29,גיל 3% שומן
01/01/2014,,2.44,2.07,שמנת חמוצה 15% שומן רגילה
01/01/2014,,6.6,5.59,שמנת מתוקה 38% שומן
01/01/2014,,4.13,3.5,חמאה רגילה
01/01/2014,,45.45,38.52,גבינה קשה חצי שמנה עמק רגילה
01/01/2014,,43.14,36.56,גבינה קשה שמנה גלבוע
01/01/2014,,5.11,4.33,גבינה לבנה 5%
01/01/2014,,13.6,11.5,ביצי מאכל- גודל ענק ( XL )
01/01/2014,,12.5,10.6,ביצי מאכל - גודל גדול (L)
01/01/2014,,11.5,9.75,ביצי מאכל - מדיום (M)
21/11/2013,,5.28,4.47,חלב טרי 3% שומן בשקית (רגיל)
21/11/2013,,4.95,4.2,חלב טרי  1% שומן בשקית (רגיל)
21/11/2013,,6.54,5.55,חלב טרי 3% שומן בקרטון (רגיל)
21/11/2013,,6.11,5.18,חלב טרי 1% שומן בקרטון (רגיל)
21/11/2013,,1.66,1.41,אשל 4.5% שומן
21/11/2013,,1.52,1.29,גיל 3% שומן
21/11/2013,,2.47,2.09,שמנת חמוצה 15% שומן רגילה
21/11/2013,,4.08,3.46,חמאה רגילה
21/11/2013,,45.96,38.95,גבינה קשה חצי שמנה עמק רגילה
21/11/2013,,43.72,37.05,גבינה קשה שמנה גלבוע
21/11/2013,,13.6,11.5,ביצי מאכל- גודל ענק ( XL )
21/11/2013,,12.5,10.6,ביצי מאכל - גודל גדול (L)
21/11/2013,,11.5,9.75,ביצי מאכל - מדיום (M)
02/06/2013,,2.09,1.77,"מלח מטבח רגיל, מלח מטבח מעולה"
02/06/2013,,2.09,1.77,מלח שולחן מעולה ומלח שולחן מעולה גס
02/06/2013,,5.28,4.47,חלב טרי 3% שומן בשקית (רגיל)
02/06/2013,,4.95,4.2,חלב טרי  1% שומן בשקית (רגיל)
02/06/2013,,6.54,5.55,חלב טרי 3% שומן בקרטון (רגיל)
02/06/2013,,6.11,5.18,חלב טרי 1% שומן בקרטון (רגיל)
02/06/2013,,1.66,1.41,אשל 4.5% שומן
02/06/2013,,1.52,1.29,גיל 3% שומן
02/06/2013,,2.47,2.09,שמנת חמוצה 15% שומן רגילה
02/06/2013,,4.08,3.46,חמאה רגילה
02/06/2013,,45.96,38.95,גבינה קשה חצי שמנה עמק רגילה
02/06/2013,,43.72,37.05,גבינה קשה שמנה גלבוע
02/06/2013,,14,11.9,ביצי מאכל- גודל ענק ( XL )
02/06/2013,,12.9,10.95,ביצי מאכל - גודל גדול (L)
02/06/2013,,11.9,10.1,ביצי מאכל - מדיום (M)
01/06/2013,,5.11,,לחם אחיד (כהה)
01/06/2013,,5.11,,לחם לבן
01/06/2013,,5.58,,חלה או מאפה שמרים
01/06/2013,,7.67,,לחם אחיד (כהה) פרוס וארוז
01/06/2013,,6.82,,לחם לבן פרוס וארוז
01/04/2013,3.88,5.07,4.33,לחם אחיד (כהה)
01/04/2013,3.84,5.07,4.33,לחם לבן
01/04/2013,4.21,5.53,4.73,חלה או מאפה שמרים
01/04/2013,5.74,7.6,6.5,לחם אחיד (כהה) פרוס וארוז
01/04/2013,4.99,6.76,5.78,לחם לבן פרוס וארוז
17/02/2013,,5.23,4.47,חלב טרי 3% שומן בשקית (רגיל)
17/02/2013,,4.91,4.2,חלב טרי  1% שומן בשקית (רגיל)
17/02/2013,,6.49,5.55,חלב טרי 3% שומן בקרטון (רגיל)
17/02/2013,,6.06,5.18,חלב טרי 1% שומן בקרטון (רגיל)
17/02/2013,,1.65,1.41,אשל 4.5% שומן
17/02/2013,,1.51,1.29,גיל 3% שומן
17/02/2013,,2.45,2.09,שמנת חמוצה 15% שומן רגילה
17/02/2013,,4.05,3.46,חמאה רגילה
17/02/2013,,45.57,38.95,גבינה קשה חצי שמנה עמק רגילה
17/02/2013,,43.35,37.05,גבינה קשה שמנה גלבוע
17/02/2013,,13.9,11.9,ביצי מאכל- גודל ענק ( XL )
17/02/2013,,12.8,10.95,ביצי מאכל - גודל גדול (L)
17/02/2013,,11.8,10.1,ביצי מאכל - מדיום (M)
22/11/2012,,2.07,1.77,"מלח מטבח רגיל, מלח מטבח מעולה"
22/11/2012,,2.07,1.77,מלח שולחן מעולה ומלח שולחן מעולה גס
08/11/2012,,5.04,4.31,חלב טרי 3% שומן בשקית (רגיל)
08/11/2012,,4.74,4.05,חלב טרי  1% שומן בשקית (רגיל)
08/11/2012,,6.27,5.36,חלב טרי 3% שומן בקרטון (רגיל)
08/11/2012,,5.84,5.02,חלב טרי 1% שומן בקרטון (רגיל)
08/11/2012,,1.59,1.36,אשל 4.5% שומן
08/11/2012,,1.45,1.24,גיל 3% שומן
08/11/2012,,2.37,2.03,שמנת חמוצה 15% שומן רגילה
08/11/2012,,3.73,3.19,חמאה רגילה
08/11/2012,,44.52,38.05,גבינה קשה חצי שמנה עמק רגילה
08/11/2012,,42.21,36.08,גבינה קשה שמנה גלבוע
08/11/2012,,13.9,11.9,ביצי מאכל- גודל ענק ( XL )
08/11/2012,,12.8,10.95,ביצי מאכל - גודל גדול (L)
08/11/2012,,11.8,10.1,ביצי מאכל - מדיום (M)
01/09/2012,,5.29,,לחם אחיד (כהה)
01/09/2012,,5.29,,לחם לבן
01/09/2012,,5.77,,חלה או מאפה שמרים
01/09/2012,,7.93,,לחם אחיד (כהה) פרוס וארוז
01/09/2012,,7.05,,לחם לבן פרוס וארוז
01/09/2012,,1.97,1.68,"מלח מטבח רגיל, מלח מטבח מעולה"
01/09/2012,,1.97,1.68,מלח שולחן מעולה ומלח שולחן מעולה גס
01/09/2012,,5.04,4.31,חלב טרי 3% שומן בשקית (רגיל)
01/09/2012,,4.74,4.05,חלב טרי  1% שומן בשקית (רגיל)
01/09/2012,,6.27,5.36,חלב טרי 3% שומן בקרטון (רגיל)
01/09/2012,,5.84,5.02,חלב טרי 1% שומן בקרטון (רגיל)
01/09/2012,,1.59,1.36,אשל 4.5% שומן
01/09/2012,,1.45,1.24,גיל 3% שומן
01/09/2012,,2.37,2.03,שמנת חמוצה 15% שומן רגילה
01/09/2012,,3.73,3.19,חמאה רגילה
01/09/2012,,44.52,38.05,גבינה קשה חצי שמנה עמק רגילה
01/09/2012,,42.21,36.08,גבינה קשה שמנה גלבוע
01/09/2012,,13.4,11.45,ביצי מאכל- גודל ענק ( XL )
01/09/2012,,12.25,10.5,ביצי מאכל - גודל גדול (L)
01/09/2012,,11.1,9.5,ביצי מאכל - מדיום (M)
01/06/2012,4.05,5.24,4.52,לחם אחיד (כהה)
01/06/2012,4,5.24,4.52,לחם לבן
01/06/2012,4.4,5.72,4.93,חלה או מאפה שמרים
01/06/2012,5.99,7.87,6.78,לחם אחיד (כהה) פרוס וארוז
01/06/2012,5.21,6.99,6.03,לחם לבן פרוס וארוז
17/07/2011,,1.95,1.68,"מלח מטבח רגיל, מלח מטבח מעולה"
17/07/2011,,1.95,1.68,מלח שולחן מעולה ומלח שולחן מעולה גס
24/05/2011,,5,4.31,חלב טרי 3% שומן בשקית (רגיל)
24/05/2011,,4.7,4.05,חלב טרי  1% שומן בשקית (רגיל)
24/05/2011,,6.22,5.36,חלב טרי 3% שומן בקרטון (רגיל)
24/05/2011,,5.82,5.02,חלב טרי 1% שומן בקרטון (רגיל)
24/05/2011,,1.58,1.36,אשל 4.5% שומן
24/05/2011,,1.44,1.24,גיל 3% שומן
24/05/2011,,2.35,2.03,שמנת חמוצה 15% שומן רגילה
24/05/2011,,3.7,3.19,חמאה רגילה
24/05/2011,,44.14,38.05,גבינה קשה חצי שמנה עמק רגילה
24/05/2011,,41.85,36.08,גבינה קשה שמנה גלבוע
24/05/2011,,13.25,11.45,ביצי מאכל- גודל ענק ( XL )
24/05/2011,,12.15,10.5,ביצי מאכל - גודל גדול (L)
24/05/2011,,11,9.5,ביצי מאכל - מדיום (M)
01/02/2011,3.8,4.92,4.24,לחם אחיד (כהה)
01/02/2011,3.76,4.92,4.24,לחם לבן
01/02/2011,4.13,5.37,4.63,חלה או מאפה שמרים
01/02/2011,5.63,7.38,6.37,לחם אחיד (כהה) פרוס וארוז
01/02/2011,4.89,6.56,5.66,לחם לבן פרוס וארוז
01/10/2010,3.68,4.76,4.11,לחם אחיד (כהה)
01/10/2010,3.64,4.76,4.11,לחם לבן
01/10/2010,3.99,5.2,4.48,חלה או מאפה שמרים
01/10/2010,5.44,7.15,6.16,לחם אחיד (כהה) פרוס וארוז
01/10/2010,4.73,6.35,5.48,לחם לבן פרוס וארוז
03/08/2010,,1.83,1.58,"מלח מטבח רגיל, מלח מטבח מעולה"
03/08/2010,,1.83,1.58,מלח שולחן מעולה ומלח שולחן מעולה גס
01/08/2010,3.55,4.6,3.96,לחם אחיד (כהה)
01/08/2010,3.51,4.6,3.96,לחם לבן
01/08/2010,3.86,5.02,4.32,חלה או מאפה שמרים
01/08/2010,5.25,6.9,5.95,לחם אחיד (כהה) פרוס וארוז
01/08/2010,4.56,6.13,5.29,לחם לבן פרוס וארוז
01/01/2010,,4.44,,לחם אחיד (כהה)
01/01/2010,,4.44,,לחם לבן
01/01/2010,,4.84,,חלה או מאפה שמרים
01/01/2010,,6.66,,לחם אחיד (כהה) פרוס וארוז
01/01/2010,,5.92,,לחם לבן פרוס וארוז
01/10/2009,3.43,4.46,3.83,לחם אחיד (כהה)
01/10/2009,3.39,4.46,3.83,לחם לבן
01/10/2009,3.72,4.86,4.18,חלה או מאפה שמרים
01/10/2009,5.07,6.69,5.74,לחם אחיד (כהה) פרוס וארוז
01/10/2009,4.41,5.95,5.1,לחם לבן פרוס וארוז
01/07/2009,,4.63,,לחם אחיד (כהה)
01/07/2009,,4.63,,לחם לבן
01/07/2009,,5.05,,חלה או מאפה שמרים
01/07/2009,,6.94,,לחם אחיד (כהה) פרוס וארוז
01/07/2009,,6.17,,לחם לבן פרוס וארוז
01/06/2009,3.56,4.59,3.97,לחם אחיד (כהה)
01/06/2009,3.52,4.59,3.97,לחם לבן
01/06/2009,3.86,5,4.33,חלה או מאפה שמרים
01/06/2009,5.26,6.88,5.96,לחם אחיד (כהה) פרוס וארוז
01/06/2009,4.57,6.11,5.29,לחם לבן פרוס וארוז
01/03/2009,3.44,4.44,3.85,לחם אחיד (כהה)
01/03/2009,3.41,4.44,3.85,לחם לבן
01/03/2009,3.74,4.84,4.19,חלה או מאפה שמרים
01/03/2009,5.1,6.66,5.77,לחם אחיד (כהה) פרוס וארוז
01/03/2009,4.43,5.92,5.13,לחם לבן פרוס וארוז
01/01/2009,3.6,4.64,4.02,לחם אחיד (כהה)
01/01/2009,3.56,4.64,4.02,לחם לבן
01/01/2009,3.91,5.07,4.39,חלה או מאפה שמרים
01/01/2009,5.33,6.96,6.03,לחם אחיד (כהה) פרוס וארוז
01/01/2009,4.63,6.19,5.36,לחם לבן פרוס וארוז
01/04/2008,3.7,4.77,4.13,לחם אחיד (כהה)
01/04/2008,3.66,4.77,4.13,לחם לבן
01/04/2008,4.02,5.21,4.51,חלה או מאפה שמרים
01/04/2008,5.48,7.16,6.2,לחם אחיד (כהה) פרוס וארוז
01/04/2008,4.76,6.36,5.51,לחם לבן פרוס וארוז
01/12/2007,3.56,4.59,3.97,לחם אחיד (כהה)
01/12/2007,3.52,4.59,3.97,לחם לבן
01/12/2007,3.86,5.01,4.33,חלה או מאפה שמרים
01/12/2007,5.27,6.88,5.96,לחם אחיד (כהה) פרוס וארוז
01/12/2007,4.57,6.12,5.3,לחם לבן פרוס וארוז
25/07/2007,3.22,4.15,3.59,לחם אחיד (כהה)
25/07/2007,3.18,4.15,3.59,לחם לבן
25/07/2007,3.49,4.52,3.92,חלה או מאפה שמרים
25/07/2007,4.76,6.22,5.39,לחם אחיד (כהה) פרוס וארוז
25/07/2007,4.14,5.53,4.79,לחם לבן פרוס וארוז
